title,description,full-description,aow,riasec,category,image,new
Data storage solutions designer,Data storage solutions designers will draw on a variety of innovative and fast changing data storage systems to create purpose built solutions for clients. ,"As digital systems become more complex and pervasive, huge demands are made on data storage.
Such technologies as Augmented (AR) and Virtual Reality (VR), Artificial Intelligence (AI), and sensor technologies, have huge data storage demands, not only in terms of capacity but in robustness and durability.
Data Storage Solutions Designers will draw on a variety of innovative and fast changing data storage systems to create purpose built solutions for clients. For instance, one solution involves DNA storage. DNA is smaller than even a microchip, and can reach a density of 215 Petabytes of storage per gram. Just four grams of DNA can contain a year’s worth of information produced by all of humanity combined. DNA is durable, and lasts for over 100 years. Other possible solutions include nanoparticles, in ‘soft matter’ to make a liquid storage device, or holographic versatile discs.
The Data Storage Solutions Designer will have high level digital engineering skills, able to select and creatively suggest the modification and application of existing technologies to specific storage problems. They will need to understand the nature and requirements of a variety of data forms and storage requirements. They will often work in transdisciplinary teams to develop viable solutions, implying strong collaborative and communication skills.",AOW18,"I, C",data,,
Data waste recycler,"Data waste recyclers will receive data recommended for deletion from companies, communities and individuals, and review it to see if it can be recycled for other purposes.","As part of routine data management processes, or an intervention led by a virtual clutter organiser, data may be recommended for deletion. In a world where data is extremely valuable and is used to inform everything from the marketing of products and services to healthcare and determining how much food to produce, erasure is a serious matter.
Data Waste Recyclers receive data that are recommended for deletion from companies, communities and individuals. They assess the data for usefulness. Depending on what they find, they may recommend selling the data using a data broker, archiving it, discarding it, or returning it to service, with or without cleaning and further refinement.
Data Waste Recyclers are an important part of the data health of the world in which we now live.
Data Waste Recyclers will have exceptional attention to detail. They will be good at analysing and interrogating data sets for usefulness and dangerous features (such as bugs, corruption or anomalies). They will know what data can be used for, and what types of data are most in demand by different types of users. They will be familiar with the latest in data management and archiving techniques.","AOW10, AOW17, AOW18",C,data,,new
Data-based medical diagnostician,Data-based medical diagnosticians will specialise in making sense of data in order to make medical diagnoses in complex cases or where the patient has mysterious symptoms.,"The Data-based Medical Diagnostician will specialise in making sense of data in order to make medical diagnoses in complex cases or where the patient has mysterious symptoms.
The diagnostician will draw together large amounts of data from many different sources, including the patient’s health tracking implants, environmental monitoring devices, tests that have been run by doctors, genetic profiles, and the life history data for the patient.
They will also have access to billions of documents and diagnostic databases containing information about diseases.
They will be assisted by AI algorithms, which can scan and analyse data quickly, and identify anomalies, but the diagnostician will be responsible for piecing together the relevant information and identifying what is wrong with the patient and how to treat it.
Once a diagnosis is made, the diagnostician will relay it to other members of the medical team, with recommendations about the right therapeutic approaches to take.
The Data-based Medical Diagnostician will be highly creative and also have advanced data analysis skills They will have significant medical knowledge and excellent pattern recognition capabilities. They will be able to think and act quickly, and will use AI tools to find solutions. They may not need patient caregiving or treatment skills, as this can be undertaken by others once the diagnosis is made.","AOW8, AOW14, AOW17",I,health,,
Decision support worker,Decision support workers will help people make data-informed decisions to ensure that their life runs smoothly.,"The average person makes 33,500 decisions every day. About 230 of these are just about food! In the future, people will all have virtual assistants that use recommender systems (based on machine learning algorithms) to help them make decisions. If the person has been working with a personal brand and content manager, a health shaper, a psychologist or a personal nutrition specialist, they may well make changes to the recommender system’s algorithms to help the person make better decisions. However, sometimes automated decision support systems go wrong, or aren’t able to help with decisions because there isn’t enough of the right data available. Sometimes, people need to make very big decisions with significant potential repercussions, and prefer to work with a human to make sure the choice they are making is the appropriate one. Decision Support Workers will listen to the needs of their clients, pull together additional helpful data that the client may not have access to, and make sense of it all to help with decision- making (with the help of algorithmic tools). They will counsel and support people to make decisions, and also to put risk management strategies in place.
Decision Support Workers will like working with people, and have strong interpersonal skills. They will have knowledge of how recommender systems work, and how AI systems use data to make decision recommendations. They will also be able to tweak and fix automated recommender systems. Decision Support Workers will be aware of the data sets that are publicly available to help with decisions, and which data sets can be bought by people to help them make decisions of different types. They will know about risk associated with decisions, and risk management approaches. Decision support workers will have excellent data analysis skills.","AOW8, AOW17","S, I",people,,new
De-extinction geneticist,"De-extinction geneticists will restore extinct animal and plant species, in order to rebalance ecosystems, improve agriculture, and create designer pets.","During the early Anthropocene (the geological period during which human activity started to be the dominant influence on climate and the environment, before ecology restoration began), many species of animals and plants became extinct.
About 40% of bird species, 30% of amphibians, and 55% of insect species disappeared during this time.
Thankfully, governments realised the importance of healthy environments, and ecology restoration became a priority activity globally.
Most De-extinction and Conservation Geneticists work with ecology restoration workers to rebalance ecosystems. Some work in agriculture. However, some De-extinction and Conservation Geneticists work in novelty areas, bringing dinosaurs, aurochs, Tasmanian tigers and woolly mammoths back to life for wealthy people who want to own them as pets. This is a controversial area of de-extinction genetics, as reintroduction of extinct animals and plants can lead to harm to modern species, and cause imbalance in ecosystems.
De-extinction and Conservation Geneticists will have strong analytical, critical thinking, and problem solving skills. They will be good at maths and research, and have advanced qualifications in life sciences, genetics and the species they specialise in.","AOW9, AOW10","C, I",env,,new
Digital apiarist,"Digital apiarists will build, maintain, and collect data on bee hives, supporting agriculture and plant life in general.","While technological options for plant pollination have been developed, keeping live bees is still the best way to ensure that food crops and other plants are healthy and keep reproducing.
Historically, bees nearly died out because of climate change, reduced diversity of plants, pesticides, parasites, and diseases.
Now bees are thriving, in part because of digital apiarists.
Digital Apiarists work on smart farms in urban regions, and also in wilderness areas. They are experts in hive and bee health, pollination processes, hive design, and appropriate selection of bee colonies for the plant profile in different areas.
Digital Apiarists do visit hives in person, but they also use digital sensors on bees, inside hives, on plants, and in the air and soil to monitor what is happening to hives. They rely on AI and big data algorithms to help them make sense of the data that is generated. Through the use of remote delivery systems, they can make adjustments to the temperature and humidity, the availability of water, and deliver medicine to the bees if needed.
Digital Apiarists often work with smart farmers and ecology restoration workers.
Digital apiarists will love nature and working with plants and animals. They will have strong knowledge of insect biology, pollination processes, and plant diversity. They will have good analytical skills, and be able to use digital tools for monitoring, analysis, and interventions. They will need to work with others. Depending on hive locations, some travel may be required for this role.","AOW1, AOW3, AOW10, AOW14, AOW17, AOW18","R, C",env,,
Digital implant designer,Digital implant designers will create body hacks that will be implanted into people's bodies and brains to ensure their health and enhance their lifestyles.,"A Digital Implant Designer creates ‘body hacks’ that will be implanted into people’s bodies and brains to ensure their health and enhance their lifestyles. Implants may include:
• integrated health and fitness trackers that monitor everything from fitness activity to blood nutrient levels to gut flora
• devices that help to manage health conditions by regulating or replacing body systems
• global positioning systems 
• devices to augment the senses (e.g., extending the range of vision, improving hearing, eye cameras)
• devices to manage real-time digital interaction with people and bots (artificial intelligence) and provide real- time information feeds from the internet
Digital Implant Designers need to be creative and have knowledge of design processes. They will have technical skills relating to implant technologies and digital systems integration, along with knowledge of human biology and medical advances. Communication skills will be needed to work with clients, healthcare professionals, scientific researchers, systems engineers, and medical scientists.","AOW8, AOW14","I, A, S",tech,,new
Digital memorialists and archivists,"Digital memorialists and archivists will work with a deceased person's surviving family members and loved ones to determine which parts of their digital identity should live on publicly, which should be retained by the family, and which should be archived.","People leave behind many yobibytes of data when they die. Collecting, managing, curating and archiving this data is an important job.
Digital Memorialists and Archivists work with surviving family members and loved ones to determine which parts of a person’s digital identity should live on publicly, which should be retained by the family, and which should be archived.
They may work with someone approaching the end of their lives to record their data preservation wishes, so as to enact those wishes afterwards. A large part of a Digital Memorialists and Archivists job will be to craft a respectful portrait of someone that can live on after they have died, while also retrieving data that might be useful for other purposes. They will work with digital archiving artificial intelligence tools to process, sort and store digital data.
Digital Memorialists and Archivists have excellent listening and communication skills. They will be sensitive and empathic people, and able to generate compassionate impressions of others through creativity. They will be excellent digital researchers and analysts, and will have digital literacies to work with artificial intelligence and data presentation tools.",AOW8,"I, S",people,,new
DigiTech troubleshooter,DigiTech troubleshooters will work with households and businesses to solve problems with digital technologies that aren't easily fixable using at-home troubleshooting algorithms.,"If your home network won’t read the data from your bio-implants, your augmented reality game is glitching, or your household robot is stuck in a loop cleaning the same part of the kitchen, then you can contact your local DigiTech Troubleshooter for help.
DigiTech Troubleshooters work with households and businesses to solve problems with digital technologies that aren’t easily fixable using at-home troubleshooting algorithms. These used to be known as ‘IT Helpdesk’ roles, but now most of the simple problems with technology can be solved using bots and AI.
The DigiTech Troubleshooter is there for more advanced issues, to diagnose what is happening and make sure that you are reconnected as soon as possible.
DigiTech Troubleshooters will have good listening skills so that they can interact with clients and diagnose problems with technology. They will be familiar with the commonly used household or business digital technologies for networking, systems integration, implants, augmented reality, and robots. They will have good software use and basic programming skills, and will also be able to perform hardware fixes. They will need to be patient and methodical, and be good problem-solvers.
This will be a ‘high growth’ role, with strong and increasing demand for DigiTech Troubleshooters in local communities as well as business.","AOW1, AOW18","R, S",tech,,
Displaced persons re-integrator,Displaced persons re-integrators will support people who have been displaced from their previous communities to find or create new communities and settle into their new lives.,"At one point in the early 21st century there were tens of millions of displaced people in the world, due to war and persecution, and the effects of climate change causing sea level rise.
Increasingly, displacement occurs as people move to seek new jobs in a world of work that is changing as a result of the rise of artificial intelligence and other advanced technologies.
Supporting people who have moved from their previous communities, helping them to find or create new communities, and settling them in to their new lives, will be an important job role.
Displaced Persons Re-integrators will work for government, aid organisations, and local communities, as part of the suite of social services offered to all people.
If a family finds that they need to move away from where they are living, a Displaced Persons Re-integrator will help them find and move to a new community, facilitate their entry into new jobs and schools, and help with retraining. They will work with local community co-ordinators and social support workers to help the family find new friends, and connect with local people from the same cultural backgrounds.
Displaced Persons Re-integrators have qualifications in international development, social work, or community studies. They are socially and culturally aware, and are comfortable with listening to, and providing support to people who are distressed. They have good networking skills, and will regularly liaise with global, national and local government agencies, schools, businesses, community and cultural organisations to help them re-integrate their clients.","AOW1, AOW8","S, E",people,,new
Drone airspace regulator,"Drone airspace regulators will develop road rules for the sky, ensuring drones can be operated safely and efficiently.","Drone Airspace Regulators will develop road rules for the sky.
At any given time in urban spaces, there are thousands of drones flying about overhead. Some drones are used for surveillance and keeping an eye on the environment, others courier items from place to place, and a third type films images and video for use in marketing and advertising. Swarm artists use yet another type of drone to create spectacular art displays, and there are also recreational drones, which allow people to experience flight while they are piloting from the ground.
Without airspace control regulations, including specified ‘airlanes’, drones would bump into one another, fly into unsafe spaces, and collide with buildings constantly. All drones must have collision-avoidance technology enhancements, and must fly in the prescribed areas. For instance, pizza delivery drones must not fly in the spaces reserved for emergency services drones, and they must stay several metres clear of buildings at all times.
A Drone Airspace Regulator will provide advice, guidance, and direction on airspace issues relating to drones inside and outside controlled airspace. They will develop and implement strategies and policies for the safe and efficient operation of drone airspace in accordance with global, national, and community legislation.
Drone Airspace Regulator will have comprehensive knowledge of the regulatory role, strategic plan and responsibilities of the drone airspace regulation agency. They will have technical knowledge of air control issues, and strong written and oral interpersonal skills. They will be able to work with digital tools that monitor drone behaviour and technology updates, and make recommendations about changes to policy.","AOW7, AOW11, AOW16","C, I",buslaw,,
Drone experience designer,Drone experience designers will work with drone fleet controllers to optimise people's interactions with drones.,"Drones will perform increasingly varied roles, such as delivery, emergency care, surveillance, mapping, entertainment, and videography to name just a few.
The Drone Experience Designer will work with drone fleet controllers and with their customers to optimise people’s interactions with drones. Drones will have the capacity to provide accurate and immediate service to customers.
The Drone Experience Designer will help the use of drones and user interaction to be engaging and efficient. In some ways, the drone experience designer will be like a ‘drone customer service coach’.
The Drone Experience Designer will understand drone technology and the software systems involved in designing flight paths and delivery logistics. Like all public relations personnel, they will have high-level communication skills needed to ensure clients’ needs are understood and met, while their expectations are managed. They will have a good understanding of safety and privacy concerns, strong people skills, including empathy, and be capable of designing innovative solutions to improve drone interaction with the public.","AOW2, AOW7, AOW16","A, S, I, C",people,,new
Early childhood teacher,Early childhood teachers will support young children to learn and discover their potential.,"With a growing population, demand is high for early childhood education.
The Early Childhood Teacher and the Local Community Coordinator work together to offer locally relevant curriculum.
Early Childhood Teachers will do much of what they did in the early 21st century, but with an emphasis on engaging children in meaningful interactions and learning about localised ideas and issues. Important values will be encouraged: community and social engagement; environmental sustainability; intercultural competence; healthy behaviour, and digital technology literacies.
In the same way as now, the role of the Early Childhood Teacher will be to support young children to learn and discover their potential.
Robots will do much of the basic care and ensure child safety (using sensors to physically and psychologically monitor the children). The data from the sensors will be read by the Early Childhood Teachers and used in curriculum design decision making with a focus on the individual child.
Early Childhood Teachers will be empathetic with high level communication skills. They will be digitally literate and use data to make curriculum decisions. They have disciplinary skills in education, and knowledge of child development. They will collaborate well, especially at the local level.","AOW1, AOW8",S,people,,
Energy and data systems installer,Energy and data systems installers will create intelligent home and office environments that are customised to optimise their energy use while continually learning and adapting to user behaviour. ,"An Energy and Data Systems Installer will evolve from an electrician. The technical skills and knowledge base of the electrician will remain fundamental to this new role but the focus of the work will be integrating smart technology systems to streamline and optimise energy use.
Energy and Data Systems Installers will create intelligent home and office environments that are customised to optimise their energy use while continually learning and adapting to user behaviour. They will be able to install data capture devices and support clients to monitor and manage their energy consumption efficiently.
There may also be opportunities to specialise in local renewable energy solutions, such as wind, solar and bio energy, working with clients to design systems that deliver self- sufficient energy usage while brokering renewable energy surplus within the broader energy network.
Energy and Data Systems Installers will have a niche skill set that is very practical, enjoy working with their hands, and work to technical specifications and safety regulations. They will be problem solvers with highly developed communication skills to understand the unique energy needs of their clients and use new technologies to design safe and efficient systems to optimise energy performance.","AOW1, AOW10, AOW18","R, I, C, S",tech,,
Entomicrobiotech cleaners,Entomicrobiotech cleaners will use bacteria and insects to clean up pollution and waste.,"Entomicrobiotech Cleaners will use bacteria and insects to clean up pollution and waste.
At one stage in history, there were 9 billion tonnes of plastics in the world, most of which ended up in the ocean or in landfill. Depending on the type of plastic, it can take 1,000 years for a plastic bag to break down, while plastic bottles take 450 years or more. More than 10,000 oil spills of crude or refined petroleum products occurred, killing countless birds and sea animals.
During the clean-up, scientists discovered that certain types of bacteria and insects love to consume petrochemicals. For instance, wax worms (Galleria mellonella) find polythene delicious, and can break down a plastic bag in a few hours. Bacteria called oiloceanspirallales consume crude and refined oil in the ocean.
In the future, Entomicrobiotech Cleaners will farm these bacteria and insects, and deploy them in environmental clean up efforts.
There will be long-term programs to clean up very old plastic and oil from many decades ago — it will take a long time to eat 9 billion tonnes of plastic! There will always be demand for Entomicrobiotech Cleaners and their ‘cleaning crews’.
Entomicrobiotech Cleaners will have strong knowledge of the biology of insects and bacteria, and how to keep them healthy. They will use environmental sensors and analytical algorithms to let them know the waste profile of the area they will be working in, so that they can deploy the right bacteria and insects to clean up, and in the right order. Travel will be required for this job role. Entomicrobiotech Cleaners will have strong stomachs. They aren’t worried by bugs or gooey substances (agar or liquid nutrient used for bacteria growth).","AOW8, AOW9, AOW10, AOW14","R, C",env,,new
Ethical hacker,Ethical hackers will identify weaknesses in cybersecurity systems to find and fix potential security risks and fight off attackers.,"Also known as ‘white hats’, Ethical Hackers identify weaknesses in cybersecurity systems.
In a world where everyone is constantly digitally connected, and data is collected about everything, hacking will become a major problem. Personal data may be taken hostage for ransom, and identity theft will have serious repercussions.
Ethical hackers will get into the minds of cyber-criminals and look for security vulnerabilities. They will use the same tools as criminal hackers to probe systems for weaknesses, including social engineering, water-holing (monitoring social media of employees), algorithmic analysis, botnet armies, and automated attacks.
Ethical Hackers will work for big companies, government agencies, and cybersecurity firms. They will find and fix potential problems, patch security risks, and fight off attackers.
Ethical Hackers will be puzzle-solvers. They will have highly developed analytical skills, and enjoy finding and solving problems. They will be data-driven and detail-oriented. Ethical hackers will often work in teams, and so will need high levels of interpersonal capability. They will also be excellent programmers and have a strong knowledge of cybersecurity issues and trends.","AOW17, AOW18","I, A",tech,,
Farm safety advisor,Farm safety advisors will reduce farm accidents and injuries.,"Until fairly recently, farm accidents accounted for about one in five work-related fatalities.
In the future, a combination of human interventions and digital technologies will ensure that workplace accidents on farms are very rare.
Farm Safety Advisors will visit farms in a district or community to inspect and advise farmers on risk identification, management and planning.
Farm Safety Advisors will be informed of potential risks through software that uses a combination of big data and accident histories, and sensor technology that informs of existing or emerging hazards in the environment.
Farm Safety Advisors will ensure that autonomous vehicles and ag robots have the latest safety software installed, and that bodies of water such as dams are fenced off electronically from access by small children. They will develop safety plans for farmers and provide advice on the latest in safety practices and technologies.
Farm Safety Advisors will be familiar with farming practices and processes. They will have an eye for detail, and keen judgement. Awareness of farm hazards and their likelihood is important, as is the ability to use digital tools to assess risks. Farm Safety Advisors will have excellent knowledge of the latest in safety products and technologies, and will be able to communicate these options to farmers.","AOW3, AOW8, AOW14, AOW16, AOW18","C, I",ag,,new
Flood control engineer,Flood control engineers will work with multiple flood management systems in a world where global sea levels have risen and extreme weather is commonplace.,"Climate change has resulted in a substantial global rise in mean sea level. Localised extreme storm events often produce excessive rain and cause flooding, so all water management strategies need to cope with large variations in water volume. Smart cities have been redesigned, transport options have been re-negotiated and even rainwater management for individual homes have been reconsidered. Living shorelines made of mangroves, marshes, wetlands, oyster beds, and coral reefs have been re-established to protect the coastlines. Technologies that use AI sensors and environmental monitoring manage movable flood barriers when needed. These may channel water or dissipate wave energy, mitigating the effects of the flood.
Green infrastructure, such as rain gardens and green roofs, are used to channel rainwater into natural designs that absorb rainwater and stormwater. Smart cities increase their ability to handle large volumes of water but developing community-based rain gardens, bioretention gardens, and bioswales (sloped landscape features that channel water into vegetation-filled ditches).”
In such a future, the Flood Control Engineer will liaise with the regional and Local Community Growth Co-ordinators to ensure localised knowledge about these systems, so that they will be managed well when needed.
The Flood Control Engineer will be in high demand as their skills in hydrology and water flow management use cutting edge technologies matched with integrated ecological understandings. They will be communication networking experts as well as leaders in their field to ensure that the communities can manage the systems in times of flood.","AOW10, AOW11, AOW19","I, R",env,,
Food knowledge communicator,"Food knowledge communicators will help people to change their relationship with food, making it healthier and more ethical.","You feel like a snack and are about to purchase some locally produced organic crispy crickets!
Food Knowledge Communicators help us to change our relationship with food to make it healthier and more ethical.
A Food Knowledge Communicator designs communication campaigns to enable us to source real-time information about food products.
Augmented Reality (AR) is used to present the details about the production of each food item, and its nutritional values, which can be used as part of a personalised nutrition plan developed by a Health Shaper or a Nutri-gutome Specialist. The AR information enables greater connectivity to our food, and supports healthy eating behaviour.
The Food Knowledge Communicator will understand people, and will be able to market new opportunities so that the health and ecological benefits are highlighted and they are convincing. They will be invested in issues of food and agroecology and health, as well as global trade and food ethics. They will be dynamic individuals with passion for their work.","AOW2, AOW8",A,ex,,new
Forensic data analyst,"Forensic data analysts will dig into data produced in and around a crime scene, and follow data trails to understand what happened in a crime. ","Forensic data analysts can work in the police service, in private enterprise security firms, and as freelance consultants.
Forensic data analysts dig into data produced in and around a crime scene, and follow data trails left by people, to understand what happened in a crime. Assisted by machine learning-based algorithmic tools, they sift through data to uncover evidence of illegal activities and cybercrime, including credit and cyber-currency fraud and hacking.
Some forensic data analysts are involved in e-discovery, which involves gathering data and evidence electronically (including data collected from behavioural sensors and online communications) to prosecute or exonerate people who have been accused of crimes.
One specialist type of forensic data analyst uses microbiome data (bacteria and other microorganisms that live on and around people’s bodies) collected at the crime scene to identify and track individuals based on the unique and molecular signatures of their microbiota.
Forensic data analysts are highly analytical, systematic thinkers who have a deep understanding of the various data trails left by people that can be useful in crime fighting. Trained in police work, they also know how to use artificial intelligence tools to mine data for evidence that could be useful. They often work in teams of cybercrime police, legal professionals, and AI forensics programmers, so they need good teamwork skills.","AOW9, AOW14, AOW17, AOW18","C, I",data,,
Freelance virtual clutter organiser,Freelance virtual organisers will help to manage a person's virtual clutter and data.,"In the early 21st century, people living in advanced nations often owned so many physical belongings that ‘cluttered’ their environment and led to stress.
In the future age of waste reclamation and upcycling, people will no longer live with clutter in the physical world. However, they will have a lot of virtual clutter. This is because of all the data that they create, access, use and store. Not only will people have numerous online user accounts, they also generate data from their body and household sensors. Everyone consumes a lot of media, including augmented and virtual reality and multisensory experiences.
This is where a Freelance Virtual Clutter Organiser will help. Every household will have a data management system, but sometimes things can get overwhelming and it can help to have a person intervene to remove excess data and organise the rest. Virtual clutter organisers use data management software and artificial intelligence to make their jobs easier, but much of their role can’t be done automatically. They will start by asking the client about what isn’t working in the household data management system, where there is too much data, or where data could be organised better. They will then perform diagnostic tests, and implement data management solutions, which may include updating software, adding new servers or data storage, rearranging how data is organised and retrieved, and educating clients about data management strategies.
Freelance Virtual Clutter Organisers will be highly organised. They will be good at problem solving, and use software to identify problems and come up with solutions. They have good interpersonal skills to work with clients. As freelancers, they will be entrepreneurial — they will be good at marketing their services to new clients.","AOW1, AOW8, AOW18","E, S, C",data,,new
Fusionist,"Fusionists will use design approaches to bring together professionals from art, engineering, research, science, and other disciplines to create innovative ideas, experiences, and solutions to complex problems.","Fusionists will use design approaches to bring together professionals from art, engineering, research, science, and other disciplines to create innovative ideas, experiences, and solutions to complex problems.
Fusionists will be employed across many industries, where they will act as bridges between people with specialist disciplinary knowledge. For instance, a fusionist could be part of a team responsible for designing a new kind of attractive smart fabric for clothing that changes its properties depending on the weather conditions. Other team members may include a materials engineer, a fashion designer, an artist, and a digital sensor designer.
A Fusionist will blend knowledge and skills of different team members to create an overall approach to the design of the fabric, and translate and coordinate the specific tasks required to complete the design.
Fusionists will be excellent communicators, with exceptional listening, written and oral communication skills. They will be able to understand technical concepts from different disciplinary areas and be up-to-date with the latest technology and research developments in their areas of interest. Fusionists will be experts in design and solution development. They will also have well-developed organisational and project management skills.",AOW12,"A, S",buslaw,,new
Gamification designer,"Gamification designers will enhance user engagement of such things as nutrition, education, and exercise, by developing games.","Gamification is the process of adding game logic and processes to enhance user engagement to achieve better outcomes.
Gamification can be used in a range of domains from education to healthcare to improve learning outcomes or enrich lives.
With connected digital devices underpinning social and economic networks, this technological ecosystem will increase the depth and breadth of gamification opportunities. Gaming will become a pervasive part of our lives with organisations using gamification to incentivise behaviours and increase engagement. For example, public health organisations could offer reward points towards a holiday for buying healthy groceries online or increasing physical activity.
As the use of gamification grows, games will connect with each other and blend with the real world forming a mesh of interdependent activities that blur lines of separation. Interconnected and integrated gaming experiences will fundamentally change human behaviour.
Gamification Designers will design games for a rich variety of domains.
They will have a mix of skills and domain expertise. They will have a high level of technology literacy and expertise in psychology and user experience.
They may specialise in a particular domain such as primary education, public health or aged care.","AOW4, AOW8, AOW14, AOW15, AOW18","A, I",tech,,
Genetics coach,Genetics coaches will help people understand their genetic profiles and the impact of genes on their health and wellness.,"Genetics Coaches will work either individually or in coordination with genetic engineers and health care teams to provide information and support to people about their genetic profiles.
Technological innovations and continued developments in genomics will open up a whole new field in genetic healthcare, which will also extend into genetic hyper- performance and hyper-aesthetics.
Genetic Coaches will explain to clients what their genetic analysis results mean, and the implications for their lifelong health and wellness. They will help clients make decisions about whether or not to correct genetic problems through precision genome editing. They will also provide advice about genome tweaking for aesthetic or athletic performance, although there will be tight ethical and genetic diversity regulations monitoring in this area of their work.
Genetics Coaches will need strong interpersonal skills, and the ability to translate complex analyses into information that people can understand. They will need knowledge of genetics and the processes of genetic engineering and genome editing, and the ability to interpret results of these procedures. Genetics Coaches who work in teams will need to be able to collaborate with engineers and healthcare workers. They will also need training in advanced human bioethics.","AOW8, AOW9, AOW18","S, C",health,,
Haptic technology designer,"Haptic technology designers will create realistic touch control, touch sensing, and motion tracking to virtual and augmented reality.","Haptic technology applies kinaesthetic or tactile feedback to bring realistic touch control, touch sensing, and precise motion tracking to virtual and augmented reality experiences.
The Haptic Technology Designer uses algorithms to manipulate ultrasound waves.
These waves are condensed into invisible buttons or hotspots that we cannot see, but can feel. The waves can then be arranged in a way that makes multiple invisible buttons distinguishable to the touch. Haptic feedback can be added to holographic projections so that a loved one can deliver a virtual hug while enjoying a virtual conversation. Similarly, clothes in an online store can be trialled and tried on to ensure fit and feel are as desired.
Designers apply haptic technology to holographic, virtual and augmented reality experiences in a variety of fields — such as: entertainment, communication, business, medicine, and education.
Haptic Technology Designers will explore opportunities to apply haptic technologies in innovative ways. They will have electronic engineering skills. They will have high-level skills in creativity and communication as they design applications with haptic technology.","AOW14, AOW17","R, I",ex,,
Health shaper,Health shapers will work with clients to build health solutions customised to their lives and needs.,"Health Shapers work with clients to build health solutions customised to their lives and needs.
To do this, they use technology that genetically profiles their clients, incorporating previous health data, making use of environmental monitoring, and integrating constant behavioural tracking.
The health shaper prevents many illnesses through crafting comprehensive individualised health solutions, with the aim of reducing illness in the community, especially given an ageing population.
Assisted by machine learning and big data mining tools, the health shaper identifies and develops bespoke wellness solutions for their clients. Nutrition, exercise, and therapeutic interventions are planned based on data analysis and interpretation. Predictive physiotherapy is also used as a strategy used to bring alignment in their clients’ skeletal- muscular systems.
A Health Shaper sees the human body as a complex integrated system. They listen to their clients’ needs and communicate clearly so as to ensure the health care solutions they provide are understood and can be followed precisely. They have high level technology skills that allow them to gather and collate diverse data sets focused on all aspects of their clients’ health and interpret results to provide advice and develop optimal health and wellness solutions.","AOW8, AOW9, AOW18","I, S",health,,
Human habitat designer ,Human habitat designers will develop and design land and built environments to create effective living and working arrangements in large settlements.,"Human Habitat Designers develop and design land use and the built environment, including air, water, and the infrastructure of urban areas, such as transportation, communications, and distribution networks.
The number of people living in cities keeps increasing. As a result, human habitat designers have been designing smart cities with taller buildings, elevated transportation, vertical farming, and vertiports (aircraft and space shuttle ports with vertical runways).
They use regenerative theory, circular economy practices, and net positive design principles to build effective mass living and working arrangements. While millions of people live in these enormous vertical settlements, human habitat designers also focus on building local communities that enhance health and wellbeing. All buildings are constructed with environmental sustainability and ecosystem balance in mind, and are maintained in this way as well.
Human habitat designers rely on thousands of environmental sensors distributed through cities, the data from which are analysed using advanced algorithms to inform the design and maintenance processes.
Human Habitat Designers evolved from the urban planning profession. They have knowledge of planning theory, and may have an educational background in architecture, economics, environmental management or science, geography or sociology. They will be interested in social, economic, environmental, and cultural issues, and their intersection. They have good written and oral communication skills, attention to detail, and analytical and problem-solving skills. Their visuo-spatial skills are excellent, as are their digital literacies and ability to make sense of big data using algorithmic techniques.","AOW1, AOW8, AOW10, AOW11, AOW17, AOW19","A, I, C",urban,,
Innovation manager,Innovation managers will seek out new methods and technologies to support innovative thinking environments in organisations.,"An Innovation Manager will work as an independent consultant or within an organisation to create an environment that fosters innovation.
They will develop strategies and processes that bring together a mix of experts, lead brainstorming sessions, encourage collaboration and sharing of ideas to design and develop innovative solutions.
The Innovation Manager will seek out new methodologies and technologies to maintain a fertile environment for innovative thinking to flourish and be realised. They will think ‘big picture’, considering the cycle of innovation from inception to marketplace, and play a role in readying the market for new products and services. Innovation Managers will be highly creative and future orientated, seeing the world through the lens of curiosity as they detect new developments and early trends. They will have significant knowledge of organisational development, drawing on analytical skills to create enabling structures and processes. They also have the leadership qualities and influencing skills to support people through organizational change.",AOW12,"E, A, S",buslaw,,
Integrated ecology restoration worker,Integrated ecology restoration workers will undo environmental damage and restore the natural environment to a healthy state.,"Integrated Ecology Restoration Workers, also known as ‘rewilders’, are employed by the government to undo environmental damage and restore the natural environment to a healthy state.
Over a fairly short period of time during the late industrial age, significant damage was done to the environment through industrialisation including by pesticides, plastics pollution, and single crop farming.
Integrated Ecology Restoration Workers restore healthy habitats for flora and fauna, repair wilderness areas, and rebalance ecosystems through direct interventions. Where a species has become extinct, they may work with de-extinction geneticists to revive it through cloning or genome editing, with the overall aim of restoring genetic diversity.
Integrated Ecology Restoration Workers have advanced skills in ecological science. They have practical and theoretical knowledge of interactions between organisms and their environments, including climate, geology, and other animals and plants.
Integrated Ecology Restoration Workers will be very practical people who enjoy working with plants and animals. They need research skills to find out how natural environments used to be before they were damaged.","AOW1, AOW10, AOW14","R, I",env,,
